"RACE","MALE","FEMALE","TOTAL","PERCENT"
"White","2,975","633","3,608","44.52%"
"Black","4,102","281","4,383","54.08%"
"Hispanic","62","16","78","0.96%"
"Other","30","5","35","0.43%"
"TOTAL","7,169","935","8,104","100.00%"
