"Race","Male","Female","Total","Percent"
"White","2","1","3","5.88%"
"Black","48","0","48","94.12%"
"Hispanic","0","0","0","0.00%"
"Other","0","0","0","0.00%"
"Total","50","1","51","100.00%"
