"Race","Male","Female","Total","Percent"
"White","337","32","369","53.09%"
"Black","296","24","320","46.04%"
"Hispanic","4","1","5","0.72%"
"Other","0","1","1","0.14%"
"Unknown","0","0","0","0.00%"
"Total","637","58","695","100.00%"
