"OFFENSE","Average Age at Time of Sentence"
"CHILD ENDANGERMENT","32"
"CHILD MOLESTATION","41"
"CHILD NEGLECT - SEX OFFENSE","61"
"CHILD PORNOGRAPHY","36"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","63"
"ENTICE CHILD FOR INDECENT PURPOSES","40"
"EXPLOITATION/CHILD","37"
"FONDLING","44"
"FONDLING A CHILD","38"
"FORCIBLE SEXUAL INTERCOURSE","18"
"GRATIFICATION/LUST","38"
"HUMAN TRAFFICKING","51"
"KIDNAP MINOR","32"
"RAPE","31"
"SEXUAL ABUSE - VULNERABLE ADULT","42"
"SEXUAL BATTERY","34"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","47"
"STATUTORY RAPE","29"
"UNLAWFUL TOUCHING/CHILD","41"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","27"
