"Age","Male","Female","Total","Percent"
"50-59","536","45","581","83.60%"
"60-69","93","11","104","14.96%"
"70-79","6","1","7","1.01%"
"80+","1","1","2","0.29%"
"Unknown","1","0","0","0.00%"
"Total","637","58","695","100.00%"
