county,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tippah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,
Tishomingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,
Tunica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,
Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,
Walthall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,
Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,
Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Webster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
Winston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,
Yalobusha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
Yazoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,
out-of-state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,
total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,104",,
page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
