county,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Adams,,100,108,101,127,,141,,,,,,,,,,,,,,288,,363,331,322,320,334,311,,,,,249,,,215,,,
Alcorn,,36,41,46,44,,50,,,,,,,,,,,,,,229,,274,274,279,277,252,278,,,,,300,,,222,,,
Amite,,11,15,24,27,,19,,,,,,,,,,,,,,105,,121,115,128,86,91,110,,,,,89,,,86,,,
Allala,,34,37,37,38,,44,,,,,,,,,,,,,,144,,157,167,188,193,217,242,,,,,211,,,160,,,
Benton,,5,5,3,4,,4,,,,,,,,,,,,,,25,,33,38,34,54,59,73,,,,,44,,,30,,,
Bolivar,,158,147,163,156,,216,,,,,,,,,,,,,,389,,357,377,322,339,304,305,,,,,299,,,223,,,
Calhoun,,23,23,19,21,,16,,,,,,,,,,,,,,240,,275,264,244,226,213,202,,,,,143,,,112,,,
Carroll,,13,8,15,9,,17,,,,,,,,,,,,,,82,,53,91,106,107,95,95,,,,,86,,,69,,,
Chickasaw,,22,22,21,26,,24,,,,,,,,,,,,,,172,,221,227,202,257,254,258,,,,,168,,,139,,,
Choc1aw,,17,10,11,12,,15,,,,,,,,,,,,,,77,,91,86,80,88,85,81,,,,,67,,,57,,,
Claiborne,,20,22,20,16,,24,,,,,,,,,,,,,,160,,149,112,81,79,78,71,,,,,86,,,75,,,
Clarke,,21,26,28,31,,32,,,,,,,,,,,,,,148,,170,182,155,141,142,126,,,,,132,,,97,,,
Clay,,55,67,65,81,,83,,,,,,,,,,,,,,282,,315,314,343,386,388,399,,,,,256,,,240,,,
Coahoma,,134,151,164,167,,212,,,,,,,,,,,,,,429,,402,380,327,322,315,346,,,,,344,,,271,,,
Copiah,,55,75,79,84,,93,,,,,,,,,,,,,,310,,305,286,255,273,283,270,,,,,240,,,187,,,
Covington,,15,16,10,21,,27,,,,,,,,,,,,,,71,,53,89,77,75,78,77,,,,,69,,,73,,,
DeSoto,,60,82,70,102,,145,,,,,,,,,,,,,,579,,722,686,635,699,764,864,,,,,1118,,,916,,,
Forrrest,,241,255,254,328,,293,,,,,,,,,,,,,,534,,453,578,683,691,721,840,,,,,845,,,726,,,
Franklin,,4,10,12,9,,23,,,,,,,,,,,,,,67,,95,85,79,51,51,64,,,,,56,,,48,,,
George,,14,18,15,18,,25,,,,,,,,,,,,,,62,,114,128,130,139,150,135,,,,,138,,,132,,,
Greene,,5,3,10,12,,10,,,,,,,,,,,,,,50,,73,64,80,83,92,79,,,,,49,,,67,,,
Grenada,,57,54,53,61,,76,,,,,,,,,,,,,,297,,375,348,358,379,368,380,,,,,316,,,196,,,
Hancock,,30,63,69,75,,96,,,,,,,,,,,,,,294,,252,291,286,234,218,184,,,,,279,,,285,,,
Harrison,,429,449,495,495,,528,,,,,,,,,,,,,,1719,,1919,1992,1975,1739,"1,810","2,001",,,,,"2,155",,,1857,,,1936
Hinds,,637,729,802,813,,805,,,,,,,,,,,,,,1386,,1477,1491,1575,1432,"1,487","1,418",,,,,1616,,,1366,,,
Holmes,,34,33,34,30,,49,,,,,,,,,,,,,,151,,153,154,149,168,144,144,,,,,126,,,81,,,
Humphreys,,19,26,37,31,,38,,,,,,,,,,,,,,135,,133,137,134,137,104,84,,,,,75,,,59,,,
Issaquena,,4,5,2,4,,2,,,,,,,,,,,,,,6,,5,8,9,7,7,7,,,,,3,,,4,,,
ltawamba,,10,10,15,12,,28,,,,,,,,,,,,,,70,,35,91,96,125,153,170,,,,,185,,,132,,,
Jackson,,268,299,293,319,,328,,,,,,,,,,,,,,439,,599,679,696,629,711,816,,,,,926,,,922,,,
Jasper,,15,19,14,10,,12,,,,,,,,,,,,,,72,,74,78,68,82,62,76,,,,,86,,,56,,,
Jefferson,,10,17,15,14,,17,,,,,,,,,,,,,,78,,77,66,84,54,80,62,,,,,65,,,64,,,
Jeff Davis,,21,23,28,39,,37,,,,,,,,,,,,,,88,,57,90,53,81,71,63,,,,,55,,,33,,,
Jones,,129,142,136,144,,145,,,,,,,,,,,,,,381,,413,390,447,452,445,471,,,,,474,,,424,,,
Kemper,,13,15,12,21,,23,,,,,,,,,,,,,,60,,51,44,42,42,46,44,,,,,51,,,52,,,
Lafayette,,38,28,42,40,,47,,,,,,,,,,,,,,260,,253,233,242,246,256,281,,,,,256,,,245,,,
Lamar,,34,46,55,51,,71,,,,,,,,,,,,,,218,,252,293,281,259,309,270,,,,,305,,,218,,,
Lauderdale,,125,130,125,158,,229,,,,,,,,,,,,,,815,,932,973,930,999,"1,034","1,076",,,,,933,,,802,,,
Lawrence,,12,11,11,9,,9,,,,,,,,,,,,,,45,,31,65,73,65,96,85,,,,,95,,,88,,,
Leake,,46,34,39,47,,48,,,,,,,,,,,,,,148,,194,207,192,196,177,173,,,,,163,,,179,,,
Lee,,111,118,113,130,,133,,,,,,,,,,,,,,572,,595,724,740,870,974,"1,014",,,,,867,,,652,,,
Leflore,,104,114,25,137,,126,,,,,,,,,,,,,,303,,355,365,375,382,366,342,,,,,263,,,271,,,
Lincoln,,940,53,51,45,,76,,,,,,,,,,,,,,330,,371,343,338,288,337,338,,,,,355,,,267,,,
Lowndes,,183,210,194,214,,237,,,,,,,,,,,,,,742,,597,975,1077,1152,"1,194","1,244",,,,,951,,,771,,,
Madison,,74,80,74,64,,57,,,,,,,,,,,,,,291,,433,430,464,545,590,700,,,,,817,,,793,,,
Marion,,78,61,64,85,,103,,,,,,,,,,,,,,207,,253,255,279,282,300,308,,,,,305,,,242,,,
Marshall,,22,37,26,25,,39,,,,,,,,,,,,,,245,,245,288,273,304,319,351,,,,,321,,,248,,,
Monroe,,57,47,61,51,,58,,,,,,,,,,,,,,228,,294,324,337,378,384,354,,,,,296,,,204,,,
Momgomery,,28,16,15,18,,23,,,,,,,,,,,,,,116,,143,148,150,133,129,133,,,,,115,,,82,,,
Neshoba,,35,39,36,38,,45,,,,,,,,,,,,,,229,,254,253,245,248,254,253,,,,,244,,,188,,,
Newton,,29,33,27,39,,43,,,,,,,,,,,,,,133,,150,138,136,124,134,136,,,,,137,,,107,,,
Noxubee,,28,20,14,20,,23,,,,,,,,,,,,,,94,,39,100,87,93,92,84,,,,,68,,,47,,,
Oktibbeha,,73,81,91,92,,96,,,,,,,,,,,,,,314,,422,453,468,510,545,621,,,,,538,,,443,,,
Panola,,63,77,81,86,,94,,,,,,,,,,,,,,333,,357,377,375,389,394,402,,,,,354,,,327,,,
Pearl River,,72,83,75,89,,109,,,,,,,,,,,,,,331,,420,446,421,389,367,347,,,,,422,,,384,,,
Perry,,11,14,20,34,,22,,,,,,,,,,,,,,91,,34,84,71,69,65,71,,,,,117,,,93,,,
Pike,,78,84,80,98,,121,,,,,,,,,,,,,,536,,543,605,622,601,583,650,,,,,542,,,395,,,
Pontotoc,,33,38,34,35,,30,,,,,,,,,,,,,,160,,230,270,277,349,347,370,,,,,269,,,170,,,
Prentiss,,29,28,29,32,,24,,,,,,,,,,,,,,118,,131,191,201,219,246,247,,,,,208,,,183,,,
Quitman,,70,56,54,61,,79,,,,,,,,,,,,,,105,,115,104,100,90,90,97,,,,,70,,,58,,,
Rankin,,80,83,95,119,,127,,,,,,,,,,,,,,556,,750,750,787,774,737,814,,,,,1152,,,1033,,,
Scolt,,44,62,65,73,,58,,,,,,,,,,,,,,294,,354,353,351,322,315,314,,,,,252,,,245,,,
Sharkey,,25,15,16,24,,19,,,,,,,,,,,,,,48,,42,34,38,32,31,29,,,,,28,,,20,,,
Simpson,,35,46,31,45,,57,,,,,,,,,,,,,,77,,94,104,84,96,100,115,,,,,115,,,100,,,
Smith,,11,14,10,13,,19,,,,,,,,,,,,,,55,,39,41,52,59,53,53,,,,,78,,,45,,,
Stone,,16,15,9,13,,18,,,,,,,,,,,,,,102,,122,118,109,99,99,86,,,,,127,,,94,,,
Sunflower,,66,96,83,96,,109,,,,,,,,,,,,,,288,,290,285,330,303,309,289,,,,,242,,,154,,,
Talahatchie,,55,51,55,48,,57,,,,,,,,,,,,,,130,,149,175,180,197,200,174,,,,,117,,,97,,,
Tate,,26,23,20,26,,55,,,,,,,,,,,,,,159,,152,168,179,202,195,198,,,,,229,,,207,,,
Tippah,,6,13,18,21,,16,,,,,,,,,,,,,,97,,55,95,100,126,141,138,,,,,93,,,93,,,
Tishomingo,,16,14,11,19,,18,,,,,,,,,,,,,,66,,75,80,82,71,75,85,,,,,109,,,65,,,
Tunica,,27,39,51,51,,61,,,,,,,,,,,,,,179,,151,163,154,150,169,179,,,,,167,,,119,,,
Union,,29,35,39,37,,27,,,,,,,,,,,,,,193,,211,217,205,255,240,210,,,,,200,,,225,,,
Walthall,,19,19,17,22,,31,,,,,,,,,,,,,,130,,154,173,155,144,148,173,,,,,144,,,119,,,
Warren,,157,149,135,143,,125,,,,,,,,,,,,,,395,,354,380,367,372,365,374,,,,,406,,,366,,,
Washington,,194,238,238,265,,285,,,,,,,,,,,,,,548,,514,536,546,549,535,508,,,,,536,,,444,,,
