"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,885","50.76%"
"Compact Probation","1,061","4.95%"
"Nonadjudicated","2,320","10.82%"
"Post Release","2,845","13.27%"
"PROBATION TOTAL","17,111","79.79%"
"Parole","1,344","6.27%"
"Compact Parole","393","1.83%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,745","8.14%"
"Intensive Supervision Program - Court","1,176","5.48%"
"Intensive Supervision Program - Prison","296","1.38%"
"Earned Release Supervision","1,117","5.21%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,589","12.07%"
"TOTAL","21,445","100.00%"
