"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","14,518","47.05%"
"Probation - Compact","1,118","3.62%"
"Probation - Nonadjudicated","2,551","8.27%"
"Probation - Post Release","7,107","23.03%"
"PROBATION TOTAL","25,294","81.97%"
"Parole","1,922","6.23%"
"Parole - Compact","433","1.40%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,355","7.63%"
"Intensive Supervision Program - Court","1,265","4.10%"
"Intensive Supervision Program - Prison","246","0.80%"
"Earned Release Supervision","1,690","5.48%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","3,209","10.40%"
"TOTAL","30,858","100.00%"
