"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,740","20.79%"
"Probation - Compact","1,289","2.75%"
"Probation - Nonadjudicated","4,811","10.27%"
"Probation - Post Release","19,455","41.53%"
"TVC Probation","151","0.32%"
"PROBATION TOTAL","35,446","75.66%"
"Parole","8,604","18.37%"
"Parole - Compact","493","1.05%"
"Parole - Suspension","0","0.00%"
"TVC Parole","391","0.83%"
"PAROLE TOTAL","9,488","20.25%"
"Intensive Supervision Program - Court","905","1.93%"
"Intensive Supervision Program - Prison","133","0.28%"
"Earned Release Supervision","858","1.83%"
"Medical Release","16","0.03%"
"COMMUNITY INMATE TOTAL","1,912","6.69%"
"TOTAL","46,846","100.00%"
