"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,826","50.64%"
"Compact Probation","1,073","5.02%"
"Nonadjudicated","2,293","10.73%"
"Post Release","2,835","13.26%"
"PROBATION TOTAL","17,027","79.65%"
"Parole","1,346","6.30%"
"Compact Parole","413","1.93%"
"Suspension","9","0.04%"
"PAROLE TOTAL","1,768","8.27%"
"Intensive Supervision Program - Court","1,117","5.23%"
"Intensive Supervision Program - Prison","294","1.38%"
"Earned Release Supervision","1,171","5.48%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,582","12.08%"
"TOTAL","21,377","100.00%"
