"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","15,622","51.55%"
"Probation - Compact","1,052","3.47%"
"Probation - Nonadjudicated","2,176","7.18%"
"Probation - Post Release","5,762","19.01%"
"PROBATION TOTAL","24,612","81.21%"
"Parole","1,993","6.58%"
"Parole - Compact","446","1.47%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,439","8.05%"
"Intensive Supervision Program - Court","1,276","4.21%"
"Intensive Supervision Program - Prison","266","0.88%"
"Earned Release Supervision","1,705","5.63%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3,256","10.74%"
"TOTAL","30,307","100.00%"
