"","","","As of June 1, 2018","","",""
"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,628","61.59%","393","32.45%","5,021","57.55%"
"White","2,828","37.64%","804","66.39%","3,632","41.63%"
"Hispanic","31",".41%","10",".83%","41",".47%"
"Native American","12",".16%","2",".17%","14",".16%"
"Asian","12",".16%","1",".08%","13",".15%"
"Data Unavailable","3",".04%","1",".08%","4",".05%"
"TOTAL","7,514","100.00%","1,211","100.00%","8,725","100.00%"
