"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,445","26.88%"
"Central Mississippi Correctional Facility","3,449","3,224","25.16%"
"South Mississippi Correctional Institution","3,204","3,161","24.67%"
"County Jails - Approved*","1,481","1,013","7.91%"
"County Jails - Unapproved**","0","333","2.60%"
"Community Work Centers","1,848","1,638","12.78%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,417","12,814","100.00%"
"Bolivar County Correctional Facility","294","235","9.34%"
"Carroll County Correctional Facility","280","222","8.82%"
"George County Correctional Facility","280","224","8.90%"
"Holmes County Correctional Facility","280","224","8.90%"
"Issaquena County Correctional Facility","274","222","8.82%"
"Jefferson County Correctional Facility","280","223","8.86%"
"Kemper County Correctional Facility","355","276","10.97%"
"Leake County Correctional Facility","280","225","8.94%"
"Marion County Correctional Facility","280","218","8.66%"
"Stone County Correctional Facility","280","224","8.90%"
"Winston County Correctional Facility","280","223","8.86%"
"TOTAL REGIONAL FACILITIES","3,163","2,516","100.00%"
"Delta Correctional Facility","972","904","17.06%"
"East MS Correctional Facility","1,500","1,355","25.57%"
"Marshall County Correctional Facility","1,000","897","16.92%"
"Walnut Grove Correctional Facility","1,500","1,198","22.60%"
"Wilkinson County Correctional Facility","1,000","946","17.85%"
"TOTAL PRIVATE PRISONS","5,972","5,300","100.00%"
"Community Trusties","2","17",".08%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","00","99",".46%"
"Court Order","0","280","1.31%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,574","21,026","98.09%"
"Intensive Supervision Program","0","1,610","7.51%"
"Earned Release Supervision Program","00","1,438","6.71%"
"Medical Release","0","43",".20%"
"TOTAL COMMUNITY CORRECTIONS","00","","0.00%"
"Other Custody","0","361","1.68%"
"Off-Grounds Medical (Hospital)","0","",".03%"
"At Large (Escapees & Walk-Aways)","00","74
2",".20%"
"TOTAL","23,574","21,436","100.00%"
