"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,919","28.16%"
"Central Mississippi Correctional Facility","3,665","3,468","24.92%"
"South Mississippi Correctional Institution","3,204","3,136","22.54%"
"County Jails - Approved*","1,785","1,292","9.28%"
"County Jails - Unapproved**","0","288","2.07%"
"Community Work Centers","1,848","1,813","13.03%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,937","13,916","100.00%"
"Bolivar County Correctional Facility","294","290","9.43%"
"Carroll County Correctional Facility","280","280","9.10%"
"George County Correctional Facility","280","279","9.07%"
"Holmes County Correctional Facility","280","279","9.07%"
"Issaquena County Correctional Facility","274","274","8.91%"
"Jefferson County Correctional Facility","280","278","9.04%"
"Kemper County Correctional Facility","280","279","9.07%"
"Leake County Correctional Facility","280","278","9.04%"
"Marion County Correctional Facility","280","280","9.10%"
"Stone County Correctional Facility","280","280","9.10%"
"Winston County Correctional Facility","280","279","9.07%"
"TOTAL REGIONAL FACILITIES","3,088","3,076","100.00%"
"Delta Correctional Facility","972","955","17.39%"
"East MS Correctional Facility","1,500","1,355","24.67%"
"Marshall County Correctional Facility","1,000","982","17.88%"
"Walnut Grove Correctional Facility","1,500","1,225","22.30%"
"Wilkinson County Correctional Facility","1,000","976","17.77%"
"TOTAL PRIVATE PRISONS","5,972","5,493","100.00%"
"Community Trusties","2","17","0.06%"
"Emergency Suspension","02","","0.00%"
"Pending File Review","0","79","0.30%"
"Court Order","0","250","0.95%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,019","22,831","87.03%"
"Intensive Supervision Program","0","1,178","4.49%"
"Earned Release Supervision Program","0","1,805","6.88%"
"Medical Release","00","38","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","3,021","11.52%"
"Other Custody","0","322","1.23%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","55","0.21%"
"TOTAL","24,019","26,234","100.00%"
