"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,658","66.36%"
"Property","1,731","24.66%"
"Violent","583","8.31%"
"Sex","47",".67%"
"TOTAL","7,019","100.00%"
