"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,299","65.31%"
"Property","1,632","24.79%"
"Violent","607","9.22%"
"Sex","44",".67%"
"TOTAL","6,582","100.00%"
