"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,486","65.81%"
"Property","1,665","24.42%"
"Violent","622","9.12%"
"Sex","44",".65%"
"TOTAL","6,817","100.00%"
