"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,483","66.35%"
"Property","1,617","23.93%"
"Violent","615","9.10%"
"Sex","42",".62%"
"TOTAL","6,757","100.00%"
