"OFFENSE","NO. OF OFFENDERS","% of OFFENDERS"
"Drug","4,165","47.45%"
"Non-Violent","3,193","36.38%"
"Sex","142","1.62%"
"Violent","1,278","14.56%"
"TOTAL","8,778","100.00%"
