"OFFENSE","NO. OF OFFENDERS","% of OFFENDERS"
"Drug","4,115","47.48%"
"Non-Violent","3,079","35.53%"
"Sex","128","1.48%"
"Violent","1,345","15.52%"
"TOTAL","8,667","100.00%"
