"Program Area","Enrollment Capacity","Program Length"
"ABE","50","3 Months"
"Basic Computer","15","2 Months"
"GED","50","3 Months"
"Life Skills","15","3 Months"
"Literacy","50","3 Months"
"Welding","10","3 Months"
