"Program Area","Enrollment Capacity","Program Length"
"ABE","38","12 Months"
"Carpentry","14","110 Hours"
"GED","38","12 Months"
"Intermediate Computer","12","3 Months"
"Introduction to Computers","12","3 Months"
"Literacy","5","12 Months"
