"Program Area","Enrollment Capacity","Program Length"
"ABE","300",""
"Carpentry","50","1 Year"
"College Correspondence","5",""
"Culinary Arts","50","1 Year"
"GED","300",""
"Horticulture","50","1 Year"
"Masonry","50","1 Year"
