"Program Area","Enrollment Capacity","Program Length"
"Basic Computer","11 males/11 females","6-18 Weeks"
"Fatherhood/Parenting","100 males/75 females","6-12 Weeks"
"GED","25","6 Months"
"Life Skills/Pre-Release/Anger 
Management","30 males/75 females","6-12 Weeks"
