"Program Area","Enrollment Capacity","Program Length"
"ABE/GED/Literacy & Night GED 
Tutoring Program","170",""
"Adjustment Skills","30","45 Days"
"Basic Computer","36","26 Weeks"
"College Correspondence","1","2 Years"
"Culinary Arts","10","12 Months"
"Horticulture","22","26 Weeks"
"Life Skills","30","9 Weeks"
