"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,393","59.91%","1,939","55.86%","9,332","59.02%"
"White","4,741","38.42%","1,499","43.19%","6,240","39.47%"
"Hispanic","47","0.38%","13","0.37%","60","0.38%"
"Native American","30","0.24%","6","0.17%","36","0.23%"
"Asian","36","0.29%","14","0.40%","50","0.32%"
"Data Unavailable","93","0.75%","0","0.00%","93","0.59%"
"TOTAL","12,340","100.00%","3,471","100.00%","15,811","100.00%"
