"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,860","60.87%","3,648","47.81%","19,508","57.91%"
"White","9,823","37.70%","3,872","50.75%","13,695","40.65%"
"Hispanic","172","0.66%","45",".59%","217",".64%"
"Native American","30",".12%","9",".12%","39",".12%"
"Asian","77",".30%","20",".26%","97",".29%"
"Data Unavailable","95",".36%","36",".47%","131",".39%"
"TOTAL","26,057","100.00%","7,630","100.00%","33,687","100.00%"
