"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,998","58.59%","2,878","51.24%","13,876","56.90%"
"White","7,374","39.28%","2,625","46.73%","9,999","41.00%"
"Hispanic","136","0.72%","20","0.36%","156","0.64%"
"Native American","22","0.12%","5","0.09%","27","0.11%"
"Asian","48","0.26%","18","0.32%","66","0.27%"
"Data Unavailable","193","1.03%","71","1.26%","264","1.08%"
"TOTAL","18,771","100.00%","5,617","100.00%","24,388","100.00%"
