"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,787","57.71%","2,274","39.44%","13,061","53.40%"
"White","7,611","40.72%","3,407","59.09%","11,018","45.05%"
"Hispanic","155","0.83%","39",".68%","194",".79%"
"Native American","19",".10%","13",".23%","32",".13%"
"Asian","59",".32%","12",".21%","71",".29%"
"Data Unavailable","60",".32%","21",".36%","81",".33%"
"TOTAL","18,691","100.00%","5,766","100.00%","24,457","100.00%"
