"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,242","60.25%","1,901","55.15%","9,143","59.12%"
"White","4,651","38.70%","1,504","43.63%","6,155","39.80%"
"Hispanic","48","0.40%","15","0.44%","63","0.41%"
"Native American","25","0.21%","7","0.20%","32","0.21%"
"Asian","36","0.30%","20","0.58%","56","0.36%"
"Data Unavailable","17","0.14%","0","0.00%","17","0.11%"
"TOTAL","12,019","100.00%","3,447","100.00%","15,466","100.00%"
