"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,505","59.69%","3,072","48.58%","15,577","57.12%"
"White","8,103","38.68%","3,157","49.93%","11,260","41.29%"
"Hispanic","139",".66%","23",".36%","162",".59%"
"Native American","15",".07%","8",".13%","23",".08%"
"Asian","65",".31%","16",".25%","81",".30%"
"Data Unavailable","123",".59%","47",".74%","170",".62%"
"TOTAL","20,950","100.00%","6,323","100.00%","27,273","100.00%"
