"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,267","58.59%","2,756","49.18%","14,023","56.47%"
"White","7,485","38.92%","2,712","48.39%","10,197","41.06%"
"Hispanic","170","0.88%","21","0.37%","191","0.77%"
"Native American","30","0.16%","6","0.11%","36","0.14%"
"Asian","53","0.28%","13","0.23%","66","0.27%"
"Data Unavailable","225","1.17%","96","1.71%","321","1.29%"
"TOTAL","19,230","100.00%","5,604","100.00%","24,834","100.00%"
