"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,751","59.65%","3,280","47.80%","17,031","56.93%"
"White","8,925","38.72%","3,488","50.83%","12,413","41.49%"
"Hispanic","164",".71%","30",".44%","194",".65%"
"Native American","26",".11%","6",".09%","32",".11%"
"Asian","77",".33%","18",".26%","95",".32%"
"Data Unavailable","110",".48%","40",".58%","150",".50%"
"TOTAL","23,053","100.00%","6,862","100.00%","29,915","100.00%"
