"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,577","60.86%","3,601","47.94%","19,178","57.93%"
"White","9,657","37.73%","3,803","50.63%","13,460","40.66%"
"Hispanic","165","0.64%","43",".57%","208",".63%"
"Native American","30",".12%","9",".12%","39",".12%"
"Asian","74",".29%","20",".27%","94",".28%"
"Data Unavailable","92",".36%","35",".47%","127",".38%"
"TOTAL","25,595","100.00%","7,511","100.00%","33,106","100.00%"
