"CARROLL/MONTGOMERY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education","35","25 Weeks"
"Building Trades","15","15 Weeks"
"English Literacy","15","25 Weeks"
"General Educational Development","35","25 Weeks"
"Life Skills","25","25 Weeks"
