"WALNUT GROVE YOUTH CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education","300","Open Entry/Exit"
"Carpentry","50","12 Months"
"College Correspondence","5","Open Entry/Exit"
"Culinary Arts","50","12 Months"
"General Educational Development","300","Open Entry/Exit"
"Horticulture","50","12 Months"
"Masonry","50","12 Months"
