"WILKINSON COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education","60","Open Entry/Exit"
"Carpentry","66","6 Months"
"General Education Development /  
 Computer Aided Instruction","144","Open Entry/Exit"
"Horticulture","40","6 months"
"Life Skills","20","6 weeks"
