"YAZOO COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Basic Computer","22","12 Weeks"
"Character Education","30","15 Weeks"
"General Educational Development","15","Open Entry/Exit"
