"MARION/WALTHALL CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Basic Computer","6","16 Weeks"
"Basic Electrician","10","6 Months"
"General Educational Development","24","16 Weeks"
