"CENTRAL MISSISSIPPI CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education (Literacy, ABE, GED)","200","Open Entry/Exit"
"Balancing Work and Family","15","1,200 Hours"
"Business Technology","15","1,200 Hours"
"Clothing Apparel and Textile Workers","15","1,200 Hours"
"Computer Repair","15","1 ,200 Hours"
"Cosmetology","20","1,500 Hours"
"Upholstery","15","1,200 Hours"
