"EAST MISSISSIPPI CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education/General Educational       
 Development Special Needs","279","Open Entry/Exit"
"Basic Computer","20","13 Weeks"
