"MARSHALL COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education/General Educational       
 Development/Literacy & Night General 
 Educational Development Tutoring Program","170","Open Entry/Exit"
"Adjustment Skills Training","30","45 Days"
"Basic Computer","36","26 Weeks"
"College Correspondence","1","2 Years"
"Culinary Arts","10","12 months"
"Horticulture","22","26 Weeks"
"Life Skills","30","9 Weeks"
