"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","43","6"
"Habitual Lifers","246","49"
"Habitual","1,749","142"
"Life","1,564","237"
"Armed Robbery (Mandatory)","2,118","12"
