"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","306","62"
"Habitual","1,962","143"
"Life","1,558","231"
"Armed Robbery (Mandatory)","2,131","14"
