"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","288","57"
"Habitual","1,841","147"
"Life","1,563","238"
"Armed Robbery (Mandatory)","2,155","13"
