"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","249","53"
"Habitual","1,756","144"
"Life","1,562","237"
"Armed Robbery (Mandatory)","2,110","12"
