"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","294","58"
"Habitual","1,884","145"
"Life","1,568","240"
"Armed Robbery (Mandatory)","2,142","13"
