"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","302","62"
"Habitual","1,917","140"
"Life","1,567","238"
"Armed Robbery (Mandatory)","2,143","14"
