"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","298","61"
"Habitual","1,894","138"
"Life","1,562","242"
"Armed Robbery (Mandatory)","2,136","14"
