"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","297","60"
"Habitual","1,888","138"
"Life","1,561","242"
"Armed Robbery (Mandatory)","2,143","13"
