"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","285","57"
"Habitual","1,834","146"
"Life","1,562","237"
"Armed Robbery (Mandatory)","2,147","13"
