"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","291","58"
"Habitual","1,870","143"
"Life","1,566","239"
"Armed Robbery (Mandatory)","2,153","13"
