"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","41","6"
"Habitual Lifers","307","62"
"Habitual","1,979","145"
"Life","1,553","231"
"Armed Robbery (Mandatory)","2,130","14"
