"TYPE OF OFFENDER","NO. OF OFFENDERS WITH NO SEX OFFENSE","NO. OF OFFENDERS WITH SEX OFFENSE"
"Death Row","42","6"
"Habitual Lifers","277","55"
"Habitual","1,770","141"
"Life","1,571","239"
"Armed Robbery (Mandatory)","2,120","12"
