"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","18,384","83.15%"
"PROBATION TOTAL","18,384","83.15%"
"Parole","1,910","8.64%"
"PAROLE TOTAL","1,910","8.64%"
"Intensive Supervision Program - Court","283","1.28%"
"Intensive Supervision Program - Prison","276","1.25%"
"Earned Release Supervision","1,256","5.68%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","1,815","8.21%"
"TOTAL","22,109","100.00%"
