"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","11,355","40.20%"
"Probation - Compact","1,218","4.31%"
"Probation - Nonadjudicated","2,683","9.50%"
"Probation - Post Release","7,625","27.00%"
"PROBATION TOTAL","22,881","81.01%"
"Parole","1,980","7.01%"
"Parole - Compact","477","1.69%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,457","8.70%"
"Intensive Supervision Program - Court","929","3.29%"
"Intensive Supervision Program - Prison","259","0.92%"
"Earned Release Supervision","1,705","6.04%"
"Medical Release","14","0.05%"
"COMMUNITY INMATE TOTAL","2,907","10.29%"
"TOTAL","28,245","100.00%"
