"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,766","54.48%"
"Compact Probation","1,117","5.65%"
"Nonadjudicated","1,890","9.56%"
"Post Release","1,956","9.90%"
"PROBATION TOTAL","15,729","79.59%"
"Parole","1,246","6.30%"
"Compact Parole","437","2.21%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,691","8.56%"
"Intensive Supervision Program - Court","997","5.04%"
"Intensive Supervision Program - Prison","301","1.52%"
"Earned Release Supervision","1,045","5.29%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,343","11.86%"
"TOTAL","19,763","100.00%"
