"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,450","28.09%"
"Probation - Compact","1,043","2.80%"
"Probation - Nonadjudicated","4,301","11.56%"
"Probation - Post Release","11,441","30.75%"
"PROBATION TOTAL","27,235","73.20%"
"Parole","6,487","17.44%"
"Parole - Compact","342","0.92%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,829","18.36%"
"Intensive Supervision Program - Court","1,181","3.17%"
"Intensive Supervision Program - Prison","454","1.22%"
"Earned Release Supervision","1,468","3.95%"
"Medical Release","37",".10%"
"COMMUNITY INMATE TOTAL","3,140","8.44%"
"TOTAL","37,204","100.00%"
