"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,464","16.05%"
"Probation - Compact","1,362","4.00%"
"Probation - Nonadjudicated","3,314","9.73%"
"Probation - Post Release","13,695","40.23%"
"TVC Probation","81","0.24%"
"PROBATION TOTAL","23,916","70.25%"
"Parole","8,010","23.53%"
"Parole - Compact","612","1.80%"
"Parole - Suspension","0","0.00%"
"TVC Parole","158","0.46%"
"PAROLE TOTAL","8,780","25.79%"
"Intensive Supervision Program - Court","689","2.02%"
"Intensive Supervision Program - Prison","36","0.11%"
"Earned Release Supervision","601","1.77%"
"Medical Release","15","0.04%"
"FTR- Monitoring","5","0.01%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,349","3.96%"
"TOTAL","34,045","100.00%"
