"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,027","22.75%"
"Probation - Compact","1,301","3.28%"
"Probation - Nonadjudicated","4,131","10.41%"
"Probation - Post Release","15,394","38.79%"
"PROBATION TOTAL","29,853","75.23%"
"Parole","6,138","15.47%"
"Parole - Compact","370","0.93%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,508","16.40%"
"Intensive Supervision Program - Court","1,075","2.71%"
"Intensive Supervision Program - Prison","549","1.38%"
"Earned Release Supervision","1,675","4.22%"
"Medical Release","24",".06%"
"COMMUNITY INMATE TOTAL","3,323","8.37%"
"TOTAL","39,684","100.00%"
