"RACE","MALE","FEMALE","TOTAL","PERCENT"
"White","7,417","1,319","8,736","33.7%"
"Black","15,910","1007","16,917","65.3%"
"Hispanic","164","8","172","0.7%"
"Other","75","8","83","0.3%"
