"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,442","15.92%"
"Probation - Compact","1,363","3.99%"
"Probation - Nonadjudicated","3,369","9.86%"
"Probation - Post Release","13,746","40.22%"
"TVC Probation","77","0.23%"
"PROBATION TOTAL","23,997","70.21%"
"Parole","8,104","23.71%"
"Parole - Compact","622","1.82%"
"Parole - Suspension","0","0.00%"
"TVC Parole","126","0.37%"
"PAROLE TOTAL","8,852","25.90%"
"Intensive Supervision Program - Court","703","2.06%"
"Intensive Supervision Program - Prison","40","0.12%"
"Earned Release Supervision","565","1.65%"
"Medical Release","13","0.04%"
"FTR- Monitoring","5","0.01%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,329","3.89%"
"TOTAL","34,178","100.00%"
