"AGE","Male","Female","Total","Percent"
"50-55","558","91","649","65.6%"
"56-60","197","19","216","21.8%"
"61-65","66","12","78","7.9%"
"66-70","24","2","26","2.6%"
"71-75","11","0","11","1.1%"
"76-80","5","0","5","0.5%"
"Over 80","4","0","4","0.4%"
